Title,Posting URL,Price,Location,Posted on,Post Time,Updated on,Update time,Description
HONDA CIVIC EK WIDE FRONT 99-00 DRAG RACING VTEC,http://newyork.craigslist.org/que/ptd/5887901847.html,$500, (Fresh Meadows),2016-11-22,11:00:43,2016-11-28,12:18:50,"

QR Code Link to This Post


On special this week is our 99-00 Civic EK Wide Front with Fenders, and option of closed or open front bumpers. The 3 piece front end consists of a front bumper that has been redesigned to extend about 2"" to clear 4.5"" thick intercoolers. The front opening shroud can also be trimmed to fit depending on how thick and how far you have your intercooler extended forward. 

The fenders extend to clear 24.5"", 25"", and 26"" tall drag racing slicks. The fenders are designed to clear 9"" wide tires on the common 13x7.5, 13x8, or 15x8 wide wheels with 5"" backspace. 26"" tall slicks will also clear depending on the wheel backspace and width. Extreme rim width and backspace such as 15x10 with 4"" backspace may have clearance issues, but the fenders can be modified on the lip to help clear wider tire/wheel setups. 

Claws
185-08 Horace Harding Expwy
Fresh Meadows, NY 11365
show contact info


En especial esta semana es nuestro 99-00 Civic EK Wide Front con guardabarros, y la opción de parachoques cerrados o abiertos frente. El extremo delantero de 3 piezas consiste en un parachoques delantero que ha sido rediseñado para extender aproximadamente 2 ""para limpiar intercoolers de 4,5"" de espesor. La cubierta de apertura frontal también se puede recortar para ajustar dependiendo de cómo de espesor y hasta qué punto tiene su intercooler extendido hacia adelante.

Los guardabarros se extienden para despejar 24,5 "", 25"", y 26 ""drag alto carreras slicks. Los guardabarros están diseñados para despejar neumáticos de 9 ""de ancho en las ruedas comunes 13x7.5, 13x8 o 15x8 de ancho con retroceso de 5"". Los slicks de 26 ""de altura también se borrarán dependiendo del retroceso y ancho de la rueda. La anchura y el espacio de retroceso extremos de la llanta tales como 15x10 con 4 ""backspace pueden tener ediciones de la separación, pero las defensas pueden ser modificadas en el labio para ayudar a despejar configuraciones más amplias del neumático / de la rueda.

Claws
185-08 Horace Harding Expwy
Fresh Meadows, NY 11365
show contact info


2000,2001,2002,2003,2004,2005,2006,2007,20082009,2010,2011,2012,2013,2014 AUDI A4, AUDI A6, ADUI TT, AUDI TT QUATTRO, ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN,PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT, Honda ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT 2004 2005 2006 2007 2008 AUDI A4, AUDI A6,ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT.. Honda - ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai - AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti - EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT TURBO ALL MOTOR POWER    "
OBX SHORT THROW SHIFTERS NEW ON SPECIAL,http://newyork.craigslist.org/que/ptd/5896142055.html,$50, (Fresh Meadows),2016-11-28,13:21:39,2016-11-28,13:21:40,"

QR Code Link to This Post


OBX SHORT THROW SHIFTER ON SPECIAL. These are whats left over of our BLACKFRIDAY sell out on these shifters. 1) Nissan 240sx 89-00 2) BMW E36 92-99 3) Toyota Celica 00-01 GT-S 4) Hyundai Tiburon 97-01

Call for pricing or come on by. 
Claws
185-08 Horace Harding Expwy
Fresh Meadows, NY 11365
show contact info



2000,2001,2002,2003,2004,2005,2006,2007,20082009,2010,2011,2012,2013,2014 AUDI A4, AUDI A6, ADUI TT, AUDI TT QUATTRO, ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN,PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT, Honda ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT 2004 2005 2006 2007 2008 AUDI A4, AUDI A6,ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT.. Honda - ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai - AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti - EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT TURBO ALL MOTOR POWER    "
Pioneer DEH-14 In Dash Car Cd FM/AM Receiver Player 45 Watts x 4 Radio,http://newyork.craigslist.org/brk/pts/5866905472.html,$49," (Bronx, Manhattan, Brooklyn)",2016-11-08,11:09:49,2016-11-29,19:54:16,"

QR Code Link to This Post


Up for sale is this Pioneer DEH-14 45Wx4 High Power / EEQ/ Supertuner III/ Detachable Face Security. I am asking $49.00. CASH ONLY! This unit works great. Very powerful with a total output of 180watts (45w x4). Located in the Bronx, Manhattan, and Brooklyn. PICKUP ONLY! Please text/call me anytime at (646) 406-Five339. NO SCAMMERS PLEASE! Pioneer is one of the top of the line quality better than Panasonic, JVC, Kenwood, Alpine, Dual, Sony, and so on.

With the Pioneer DEH-1400, the road's your concert hall. Throw in your favorite CD, CD-R, or even CD-RW, or use Best Stations Memory (BSM) to find a great tune, and let the system do the rest. The DEH-1400 features 45 Watts x 4, Easy EQ for custom sound shaping, and Supertuner III to lock onto a station. Plus, the face detaches for added security. Hey- great seats. 


General Features 45W x 4-Channel High Power
Electronic Volume Control
EEQ Performance Chip 3-Band Equalizer
Easy EQ (EEQ) switches 5 Factory, 1 User EQ Presets (Super Bass, Powerful, Natural, Vocal, Flat, Custom)
Source Custom EQ Memory (Independent Custom Memory for each source)
Selectable Loudness Control (Low/Mid/High/Off)
Selectable FIE (Front Image Enhancer) (Rear LPF 100/160/250Hz)

S.L.A. (Source Level Adjustment)
Selectable Fader Control
RCA Preouts (x1 pair) (2V)
Blue-Back Liquid Crystal Display (Neg) with LED Backlight
Clock
Compact Disc Track Scan/Pause/Repeat/Random Play
Audible Fast-Forward/Reverse
Playback Compatible with Digital CD-R and CD-RW
AGC (Automatic Gain Control)
8x oversampling
3-beam laser pick-up
1-bit D/A Converter
Anti-shock mechanism
Chassis DIN Mountable
Detachable Face
Radio Supertuner III
24-Station/6-Button (18FM / 6AM) Presets
BSM (Best Station Memory)
Up/Down Seek with Selectable Local Seek Tuning

Thanks for looking!

 Fits Honda Civic, Accord, CRV, Fit, Element, Odyssey, Pilot, Toyota Corolla, Camry, Avalon, Rav4, Highlander, Tacoma, Nissan Altima, Maxima, Sentra, Chevrolet Chevy Impala, Corsica, Cavalier, Malibu, Dodge Neon, Intrepid, Dart, 88 89 90 91 92 93 94 95 96 97 98 99 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 and so on (Please Ignore Other Models: AVIC-X950BH, AVICX850BT, AVIC-Z150BH, AVIC-8000NEX, AVIC-7000NEX, AVIC-6000NEX, AVIC-5000NEX, Avic-D3,D2,D1,N1,N2,N3,GPS, Navigation, Bluetooth, Navi).
"
WANTED HONDA  CRV 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007,http://newyork.craigslist.org/que/wad/5894984801.html,$7000, (New york),2016-11-27,17:36:32,N,,"

QR Code Link to This Post


I will buy your honda crv years 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 

stick and automatic, , high milage is ok,  any condition from 500$ to 7000

call me and i will pay you cash right away and will pick it up same day with no problem , so you don't need to wait and deal with all kind of people

call me or email me or text me
show contact info
"
!!!2007 HONDA CRV EX ONE OWNER CLEAN CAR FAX!!!,http://newyork.craigslist.org/lgi/wan/5888877234.html,$7200,Not Listed,2016-11-22,22:31:46,2016-12-02,14:38:57,"

QR Code Link to This Post


CLEAN TITLE 
NON SMOKER DRIVEN 
NICE AND CLEAN INSIDE AND OUT 
RECENTLY SERVICED 
COMFORT SEATS 
OIL CHANGE EVERY 3.000 MILES*** 
NEW BRAKES *** 
AM FM CD PLAYER! 
ICE COLD A/C! 
POWER WINDOWS, LOCKS, AND MIRRORS! 
FOR MORE INFO PLEASE FEEL FREE TO CALL 7.1.8.7.7.5.0.4.0.9 LLAMAR WIILIAM    "
2007 Honda CRV,http://newyork.craigslist.org/wch/cto/5885582379.html,$7000,Not Listed,2016-11-20,17:53:30,N,,"

QR Code Link to This Post


2007 honda CRV
4WD
Clean title, one owner, zero accidents
Air conditioning and heater Rear electric windows, Cruise control, AM / FM radio, ABS Brakes, Alarm, Factory rims, Power Doors  Execelente interior condition, 
157k miles
Runs perfect
if interested call : 
 show contact info
"
2007 Honda CRV  EX-L  4x4,http://newyork.craigslist.org/brx/cto/5872083593.html,$8500, (Bronx),2016-11-11,17:00:19,2016-11-23,16:45:40,"

QR Code Link to This Post


138,000 miles 
Title Clear, one owner, zero accidents, halogen lamps,Leather,sunroof, CD, Navigation, back of camera, electric Locks, air conditioning and heated front and rear, airbags, electric seats, rear windows elictricas , cruise control, power seats, AM / FM radio, ABS Brakes, Alarm, factory rims, Power Doors, dobleGuia, Execelente interior condition, tires 100% extra clean
show contact info
"
Fog Lights/ Lamps 35W 55W Off Road SUV Jeeps,http://newyork.craigslist.org/que/ptd/5877639194.html,$10, (Fresh Meadows),2016-11-15,12:14:54,2016-11-28,12:18:36,"

QR Code Link to This Post


LIQUIDATION SALE. I have an overstock of Fog Lamps both 35w and 55w. Need to get rid of these as soon as possible. All brand new in box never used, many different styles to choose from. We have fog lamps starting as low as $10 each in different sizes and colors. We do offer these products in wholesale if interested. 


VENTA DE LIQUIDACIÓN. Tengo un excedente de lámparas de niebla tanto 35w y 55w. Necesidad de deshacerse de estos tan pronto como sea posible. Todo es nuevo nunca usada, muchos diversos estilos a elegir de. Tenemos lámparas de niebla que comienzan tan bajo como $ 10 cada uno en diversos tamaños y colores. Ofrecemos estos productos en al por mayor si está interesado. Precios Negociables.


2000,2001,2002,2003,2004,2005,2006,2007,20082009,2010,2011,2012,2013,2014 AUDI A4, AUDI A6, ADUI TT, AUDI TT QUATTRO, ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN,PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT, Honda ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT Keyword:2004,2005,2006,2007,2008 AUDI A4, AUDI A6,ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT.. Honda - ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai - AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti - EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT HIGH FLOW PERFORMANCE TURBO 2.5

Claws Autosports
185-08 Horace Harding Expwy
Fresh Meadows, NY 11365
show contact info

Mon-Sat 11AM-7:30PM    "
2007 Honda crv,http://newyork.craigslist.org/fct/cto/5886943079.html,$5300, (Danbury ct),2016-11-21,16:11:22,N,,"

QR Code Link to This Post


2007 Honda Civic
fuel: gas
title status: clean
transmission: automatic
Selling my 2007 Honda CR-V with 179 k miles nothing wrong call 
 show contact info
"
"★FOG LIGHTS FOR HONDA,TL,CRV,CUSTOMS",http://newyork.craigslist.org/brx/fod/5887068293.html,$50, (QUEENS AND BRONX),2016-11-21,17:30:32,2016-11-30,23:19:13,"

QR Code Link to This Post


HONDA ACCORD 2003-2007 FOG LIGHTS BRAND NEW THAT I NEVER GOT TO PUT IT ON MY CAR BECAUSE I SOLD MY CAR I WANT 50.00 DOLLARS FIRM 
 show contact info


If need hid i have....ok    "
2007 Honda CRV,http://newyork.craigslist.org/wch/cto/5875822468.html,$7000,Not Listed,2016-11-14,10:48:28,N,,"

QR Code Link to This Post


2007 Honda CR-V Nice AWD Clean Suv for sale.
Trans and motor runs great
loaded with Grey interior, climate control, alloy wheels, premium sound, AUX Port  all power etc......
Vehicle is an out-of-state car, from NJ
Clean title & CARFAX at hand
Only 157K  miles
 call : 
 show contact info
"
2012 KIA SOUL+ HONDA CRV ELEMENT TOYOTA RAV4 NISSAN CUBE JUKE,http://newyork.craigslist.org/lgi/ctd/5883557522.html,$10995, (WE APPROVE EVERYONE!!),2016-11-19,10:16:12,N,,"

QR Code Link to This Post


Copy URL to browser to see full description for this vehicle:
http://www.greatneckcarbuyers.com/2012-Kia-Soul-Great-Neck-NY-Long-Island-Queens-NYC-NASSAU/used_car/%5dFmyWBlt6FI%3d

Check out this excellent 2012 Kia Soul + with a clean carfax and one previous owner.


Color: Silver on Black Cloth
Engine: 2.0L 4 Cylinder Engine 
Stock number: 401457
Transmission: Automatic
Miles: 44608 

FREE 1 YEAR WARRANTY, ONE OWNER, CLEAN CARFAX, DEALER SERVICED. The 2012 Kia Soul brings hipster styling and a fun-to-drive nature to the realm of the practical hatchback. This Soul + is equipped with alloy wheels, power locks and mirrors, air-conditioning, cloth upholstery, a 60/40-split-folding rear seat, a trip computer, a tilt-and-telescoping steering column, and a four-speaker sound system with CD player, satellite radio, an auxiliary audio jack and an iPod/USB audio interface, keyless entry, rear privacy glass, cruise control, a height-adjustable driver seat and Bluetooth phone connectivity, heated mirrors, dash-top and center console storage bins, a leather-wrapped steering wheel and much more. Call today and speak to any of our many sale associates who will gladly assist you in anything you may need to become its next proud owner.  
Please call 516 487 5681 or visit Greatneckcarbuyers.com

Great Neck Car Buyers & Sellers

195 Northern Blvd Great Neck, New York 11021


GO TO WWW.GREATNECKCARBUYERS.COM AND CLICK THE RED TAB TO GET APPROVED IN MINUTES

CALL 516-487-5398 TO GET FINANCED!	




WE HAVE LUXURY IMPORTED CARS 
MODELS LISTED BELOW:

MERCEDES BENZ: C, CL, CLK, CLS, E, GL, ML, S, SL, SLK, & R CLASS
C300, C250, CL550, CLS550, E350 COUPE, 3350, S550, S550 COUPE, GLK350, GL450, ML350, ML550, S550, R350, SL550, & SLK300 (2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014) 

BWM: 3, 5, 6, 7, M, & X-SERIES

328 COUPE, 328 XI COUPE, 335 XI, 335 XI COUPE, 535I, 535 XI, 535 XIA, 550 XI, 650CI, 740I, 750XI, X5 30 SI, X5 35I, X5 50I, X6 35I (2009, 2010, 2011, 2012, 2013, 2014) 

LEXUS: ES, GS, & GX-SERIES

GS 300, GS350, IS250

PORSCHE: CAYENNE S, PANAMERA (2011, 2012, 2013, 2014) 

RANGE ROVER SPORT: HSE LUX (2010, 2011, 2012, 2013, 2014) 

OTHERS: NISSAN MAXIMA SV PREMIUM, TOYOTA CAMRY XLE (2009, 2010, 2011, 2012, 2013, 2014) 
"
OEM NEW & REBUILT ALTERNATOR & STARTER IN STOCK,http://newyork.craigslist.org/que/ptd/5847064190.html,Not Listed, (QUEENS),2016-10-26,10:49:32,2016-11-23,23:41:33,"

QR Code Link to This Post


STARTER & ALTERNATOR FOR SALE ANY MAKE OR MODEL WE GOT IT AT CHEAP PRICE (QUEENS ) HIGH AMP ALTERNATOR UPGRADE FOR MUSIC SYSTEMS IN STOCK 
SELECT AUTO ELECTRIC
show contact info

140-11 Rockaway Blvd, New York, NY 11436
starters and alternators, rebuilt and manufactored, marine and heavy duty CARS BUS WE DO IT ALL. Plus we handle emergency request within two hours

 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, Honda, Toyota, Bmw, Range Rover, Land Rover, Mini Cooper, Fiat, Hyundia, Lexus, Acura, Mercedes Benz, audi, ford, infiniti, nissan, jeep, mazda, mitsubitsu, subaru, scion, smart, volkswagon, civic, accord, rav4, crv, sienna, corolla, matrix, versa, a4, a6, s4, s5, s6, 330i, 330xi, 335xi, m3, m5, m6, x3, x5, x5m, x6m, x6, ml350, ml450, amg, is300, is350, is250, gs300, gs350, lx470, rx300, rx350, g35, g37, rl, tl, tsx, rsx, evo, sti, wrx, lancer, tc, xd, speed3, gtr, altima, maxima,    "
2007 HONDA CR-V (CRV) GREEN COLOR (CLEAN CARFAX+NO ACCIDENT),http://newyork.craigslist.org/stn/cto/5897952043.html,$7499,Not Listed,2016-11-29,14:39:46,N,,"

QR Code Link to This Post


i have 2007 HONDA CR-V
it has just 139k miles
run and drive perfect
engine and transmission perfect
you can check pictures for body and inside detail information
please call me for more information at SEVEN-THREE-TWO---seven---six---three---44---45    "
2007 Honda CRV-EX For Sale @ Ace Auto World,http://newyork.craigslist.org/stn/pts/5886535300.html,$5200,Not Listed,2016-11-21,12:27:00,2016-12-01,07:39:11,"

QR Code Link to This Post



* Mileage: 127k
* Runs & Drives
* Sunroof
* Alloy Wheels
* Very Clean
* NY 907 Salvage 


For additional information call:
Stanley - 
 show contact info
 "
Climate conrtol units for various cars,http://newyork.craigslist.org/lgi/pts/5900022024.html,$20, (Wantagh),2016-11-30,19:54:40,N,,"

QR Code Link to This Post


I have about 40 assorted climate/temperature control units in good working condition. Here's a list of a few and you can text or email me what your looking for.


2010 Mini Cooper $40
2006 Mini Cooper $35
2001 dodge Caravan $35 w/bezel
2004 Nissan maxima $30 w/bezel
2010 Hyundai elantra $25
2001 saab 9-5 $20
2005 xg50 $
2010 Honda accord $30
1997 xk8 $35
2005 Cobalt $25
2006 srx $20
2010 Toyota corolla $35
2001 crv $30
2010 Forte $25
2006 explorer $35
2006 Sonota $30
2007 mazda 3 $25
2011 Mazda 3 $20
2003 BMW 335i $40
2007-2009 Dodge caliber $20
2004 Tribute $25
2009 Aveo $25
2011Pilot $35
2002 MDX $20
2010 Fusion $20
2006 Acura TL $40
2006 MPV van $25
2010 Soul $25
2008 Milan $20
2007 ford Mustang $25
2008 ford focus $20
99-01 Bmw 3 e46 $35
2002 Honda odyssey $20

Prices Vary $20 and up
Text Jason 
 show contact info

"
"★FOG LIGHTS FOR HONDA,TL,CRV,CUSTOMS",http://newyork.craigslist.org/brx/fod/5858175166.html,$50, (QUEENS AND BRONX),2016-11-02,15:39:03,2016-11-30,09:22:57,"

QR Code Link to This Post


HONDA ACCORD 2003-2007 FOG LIGHTS BRAND NEW THAT I NEVER GOT TO PUT IT ON MY CAR BECAUSE I SOLD MY CAR I WANT 50.00 DOLLARS FIRM 
 show contact info


If need hid i have....ok    "
